time,latitude,longitude,elevation
2009-03-21 15:03:54 +0000,35.899963,-82.781545,698.054000
2009-03-21 15:04:09 +0000,35.899819,-82.781530,695.651000
2009-03-21 15:04:23 +0000,35.899701,-82.781584,694.209000
2009-03-21 15:04:25 +0000,35.899689,-82.781601,694.690000
2009-03-21 15:04:42 +0000,35.899652,-82.781784,693.248000
2009-03-21 15:04:44 +0000,35.899650,-82.781806,693.729000
2009-03-21 15:04:50 +0000,35.899648,-82.781879,692.767000
2009-03-21 15:05:01 +0000,35.899584,-82.781999,692.287000
2009-03-21 15:05:18 +0000,35.899344,-82.782006,691.806000
2009-03-21 15:05:35 +0000,35.899153,-82.781951,691.325000
2009-03-21 15:05:50 +0000,35.899054,-82.782005,690.844000
2009-03-21 15:05:53 +0000,35.899039,-82.782035,690.364000
2009-03-21 15:05:58 +0000,35.899028,-82.782080,689.883000
2009-03-21 15:06:02 +0000,35.899029,-82.782117,688.922000
2009-03-21 15:06:19 +0000,35.899055,-82.782311,686.519000
2009-03-21 15:06:23 +0000,35.899045,-82.782369,686.519000
2009-03-21 15:06:37 +0000,35.898948,-82.782500,686.038000
2009-03-21 15:06:51 +0000,35.898759,-82.782549,685.077000
2009-03-21 15:07:06 +0000,35.898582,-82.782544,685.077000
2009-03-21 15:07:37 +0000,35.898541,-82.782528,685.077000
2009-03-21 15:08:53 +0000,35.898540,-82.782553,686.038000
2009-03-21 15:09:19 +0000,35.898515,-82.782557,685.077000
2009-03-21 15:09:51 +0000,35.898458,-82.782638,685.557000
2009-03-21 15:10:27 +0000,35.898499,-82.782573,686.038000
2009-03-21 15:10:49 +0000,35.898404,-82.782559,684.115000
2009-03-21 15:11:03 +0000,35.898286,-82.782571,683.154000
2009-03-21 15:11:18 +0000,35.898179,-82.782645,681.712000
2009-03-21 15:11:33 +0000,35.898132,-82.782769,679.789000
2009-03-21 15:11:46 +0000,35.898149,-82.782884,678.828000
2009-03-21 15:11:55 +0000,35.898188,-82.782943,678.828000
2009-03-21 15:12:11 +0000,35.898307,-82.783048,678.828000
2009-03-21 15:12:25 +0000,35.898423,-82.783166,679.789000
2009-03-21 15:12:41 +0000,35.898552,-82.783350,682.673000
2009-03-21 15:12:55 +0000,35.898594,-82.783501,683.154000
2009-03-21 15:13:03 +0000,35.898560,-82.783597,683.635000
2009-03-21 15:13:21 +0000,35.898451,-82.783761,684.115000
2009-03-21 15:13:30 +0000,35.898447,-82.783868,683.154000
2009-03-21 15:13:46 +0000,35.898465,-82.784100,681.231000
2009-03-21 15:14:03 +0000,35.898544,-82.784309,678.828000
2009-03-21 15:14:16 +0000,35.898592,-82.784444,679.309000
2009-03-21 15:14:23 +0000,35.898600,-82.784498,681.231000
2009-03-21 15:14:39 +0000,35.898372,-82.784570,682.673000
2009-03-21 15:14:47 +0000,35.898246,-82.784594,682.193000
2009-03-21 15:15:03 +0000,35.897964,-82.784614,681.231000
2009-03-21 15:15:22 +0000,35.897816,-82.784539,680.751000
2009-03-21 15:15:37 +0000,35.897821,-82.784645,682.673000
2009-03-21 15:15:49 +0000,35.897791,-82.784786,683.154000
2009-03-21 15:16:03 +0000,35.897737,-82.784945,683.635000
2009-03-21 15:16:20 +0000,35.897702,-82.785130,685.077000
2009-03-21 15:16:37 +0000,35.897644,-82.785323,686.519000
2009-03-21 15:16:39 +0000,35.897641,-82.785351,686.519000
2009-03-21 15:17:02 +0000,35.897714,-82.785681,687.480000
2009-03-21 15:17:18 +0000,35.897780,-82.785874,688.441000
2009-03-21 15:17:35 +0000,35.897847,-82.786094,690.364000
2009-03-21 15:17:52 +0000,35.897922,-82.786339,691.806000
2009-03-21 15:18:03 +0000,35.897974,-82.786494,691.325000
2009-03-21 15:18:18 +0000,35.898024,-82.786626,691.325000
2009-03-21 15:18:31 +0000,35.897915,-82.786685,691.806000
2009-03-21 15:18:43 +0000,35.897866,-82.786766,692.287000
2009-03-21 15:19:01 +0000,35.897802,-82.787007,693.729000
2009-03-21 15:19:04 +0000,35.897787,-82.787025,694.209000
2009-03-21 15:19:18 +0000,35.897816,-82.787151,694.690000
2009-03-21 15:19:36 +0000,35.897959,-82.787404,694.690000
2009-03-21 15:19:53 +0000,35.897937,-82.787578,695.651000
2009-03-21 15:20:09 +0000,35.897841,-82.787721,696.613000
2009-03-21 15:20:26 +0000,35.897806,-82.787847,697.093000
2009-03-21 15:20:45 +0000,35.897870,-82.788116,698.054000
2009-03-21 15:21:02 +0000,35.897888,-82.788335,699.016000
2009-03-21 15:21:18 +0000,35.897936,-82.788555,699.016000
2009-03-21 15:21:32 +0000,35.897938,-82.788723,699.016000
2009-03-21 15:21:47 +0000,35.897862,-82.788837,699.016000
2009-03-21 15:22:02 +0000,35.897729,-82.788922,699.016000
2009-03-21 15:22:24 +0000,35.897668,-82.788945,699.977000
